,city,state,date, pm25, o3, pm10, no2, so2, co
109421,Olympia,Washington,2021-01-01,13.0,19.0,,,,
93658,Pierre,South Dakota,2021-01-01,5.0,,,,,
22928,Atlanta,Georgia,2021-01-01,51.0,,,,,
76378,Bismarck,North Dakota,2021-01-01,21.0,13.0,8.0,7.0,7.0,1.0
48664,Saint Pau,Minnesota,2021-01-01,42.0,,,,,
100737,Salt Lake City,Utah,2021-01-01,71.0,24.0,,14.0,,
73949,Raleigh,North Carolina,2021-01-01,37.0,19.0,6.0,2.0,2.0,1.0
12887,Denver,Colorado,2021-01-01,63.0,11.0,18.0,13.0,,4.0
45377,Boston,Massachusetts,2021-01-01,23.0,20.0,,15.0,,2.0
51146,Jackson,Mississippi,2021-01-01,41.0,28.0,10.0,,,
88660,Providence,Rhode Island,2021-01-01,17.0,22.0,,12.0,,3.0
25929,Boise,Idaho,2021-01-01,49.0,,23.0,,,6.0
53651,Jefferson City,Missouri,2021-01-01,44.0,,,6.0,,2.0
56161,Helena,Montana,2021-01-01,33.0,,,,,
98120,Austin,Texas,2021-01-01,17.0,,,,,
7553,Little Rock,Arkansas,2021-01-01,14.0,12.0,,,,
58650,Lincoln,Nebraska,2021-01-01,47.0,,,,,
5140,Phoenix,Arizona,2021-01-01,67.0,26.0,67.0,,,9.0
106577,Olympia,Washington,2021-01-01,8.0,,6.0,,,
15297,Hartford,Connecticut,2021-01-01,28.0,8.0,14.0,5.0,,
42863,Annapolis,Maryland,2021-01-01,23.0,,,11.0,,
335,Montgomery,Alabama,2021-01-01,58.0,,,,,
103871,Richmond,Virginia,2021-01-01,29.0,9.0,,1.0,,
92141,Columbia,South Carolina,2021-01-01,,4.0,,,,
20289,Tallahassee,Florida,2021-01-01,39.0,,,,,
86011,Harrisburg,Pennsylvania,2021-01-01,39.0,14.0,10.0,13.0,,
83560,Salem,Oregon,2021-01-01,11.0,,,,,
34969,Topeka,Kansas,2021-01-01,42.0,24.0,12.0,,,
78836,Columbus,Ohio,2021-01-01,38.0,,,,,
29935,Indianapolis,Idiana,2021-01-01,60.0,13.0,,6.0,,4.0
81130,Oklahoma City,Oklahoma,2021-01-01,23.0,,8.0,3.0,,2.0
39812,Baton Rouge,Louisiana,2021-01-01,20.0,29.0,11.0,1.0,,1.0
17785,Dover,Delaware,2021-01-01,31.0,21.0,,,,
28450,Springfield,Illinois,2021-01-01,41.0,,,,,
40464,Augusta,Maine,2021-01-01,24.0,,,,,
2701,Juneau,Alaska,2021-01-01,60.0,,26.0,,,
101354,Montpelier,Vermont,2021-01-01,20.0,29.0,,,,1.0
37407,Frankfort,Kentucky,2021-01-01,28.0,,,,,
23327,Honolulu,Hawaii,2021-01-01,20.0,25.0,,,,
48189,Lansing,Michigan,2021-01-01,48.0,19.0,,10.0,,
32429,Des Moines,Iowa,2021-01-01,32.0,,,5.0,,
111579,Madison,Wisconsin,2021-01-01,55.0,,25.0,,,
114218,Cheyenne,Wyoming,2021-01-01,13.0,31.0,4.0,4.0,,
61035,Carson City,Nevada,2021-01-01,11.0,,,,,
65724,Concord,New Hampshire,2021-01-01,,23.0,,,1.0,1.0
66205,Trenton,New Jersey,2021-01-01,25.0,17.0,,12.0,,
69085,Santa Fe,New Mexico,2021-01-01,19.0,31.0,,4.0,,
10283,Sacramento,California,2021-01-01,39.0,,,4.0,,
