UTC_date,UTC_time,city,state,local_date_airqual,local_time_airqual,local_date_weather,local_time_weather,full_time,time zone,second,lat_airqual,long_airqual,aqi,pm2.5,co,no2,o3,humidity_airqual,pressure_airqual,long_weather,lat_weather,weather_id,weather_clouds,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure_weather,humidity_weather,visibility,wind_speed,wind_deg,wind_gust,sunrise,sunset
2021-12-12,14:00,Montgomery,Alabama,2021-12-12,08:00,2021-12-12,08:00,2021-12-12 08:00:00,-06:00,1639296000.0,32.4069,-86.2564,17.0,17.0,,,,81.5,1024.4,-86.3,32.3668,800.0,,Clear,clear sky,43.83,43.83,42.1,46.87,1025.0,79.0,10000.0,0.45,136.0,0.89,06:37:31,16:40:51
2021-12-12,14:00,Juneau,Alaska,2021-12-12,05:00,2021-12-12,05:00,2021-12-12 05:00:00,-09:00,1639285200.0,58.388889,-134.565556,17.0,17.0,,,,58.0,987.8,-134.4197,58.3019,804.0,,Clouds,overcast clouds,27.19,19.71,25.84,28.45,988.0,78.0,10000.0,3.13,102.0,5.81,08:37:18,15:06:08
2021-12-12,14:00,Phoenix,Arizona,2021-12-12,07:00,2021-12-12,07:00,2021-12-12 07:00:00,-07:00,1639292400.0,33.403055555556,-112.07527777778,77.0,77.0,3.4,4.7,3.2,74.5,1017.9,-112.074,33.4484,800.0,,Clear,clear sky,48.58,47.68,36.32,56.46,1017.0,45.0,10000.0,1.54,80.0,,07:23:19,17:21:18
2021-12-12,14:00,Little Rock,Arkansas,2021-12-12,08:00,2021-12-12,08:00,2021-12-12 08:00:00,-06:00,1639296000.0,34.7561,-92.2758,1.0,,,,0.8,100.0,1028.7,-92.2896,34.7465,741.0,,Fog,fog,31.15,31.15,28.36,34.14,1029.0,93.0,10000.0,0.0,0.0,,07:07:26,16:58:52
2021-12-12,14:00,Sacramento,California,2021-12-12,06:00,2021-12-12,06:00,2021-12-12 06:00:00,-08:00,1639288800.0,38.61374,-121.36801,74.0,74.0,,,0.1,84.0,1015.9,-121.4944,38.5816,500.0,,Rain,light rain,47.5,47.5,43.92,52.65,1006.0,83.0,10000.0,0.45,144.0,2.24,07:14:44,16:45:16
2021-12-12,14:00,Denver,Colorado,2021-12-12,07:00,2021-12-12,07:00,,,,,,,,,,,,,-104.9847,39.7392,804.0,,Clouds,overcast clouds,35.11,35.11,25.92,44.31,1010.0,52.0,10000.0,0.45,202.0,,07:12:04,16:35:49
2021-12-12,14:00,Hartford,Connecticut,2021-12-12,09:00,2021-12-12,09:00,2021-12-12 09:00:00,-05:00,1639299600.0,41.7847,-72.6297,14.0,5.0,,0.5,14.3,45.0,1016.9,-72.6851,41.7637,803.0,,Clouds,broken clouds,41.59,36.5,38.77,44.82,1017.0,58.0,10000.0,3.6,280.0,,07:09:04,16:20:20
2021-12-12,14:00,Dover,Delaware,2021-12-12,09:00,2021-12-12,09:00,2021-12-12 09:00:00,-05:00,1639299600.0,38.9847,-75.5556,25.0,12.0,,,24.8,47.2,1024.3,-75.5244,39.1582,800.0,,Clear,clear sky,44.33,44.33,42.82,46.11,1023.0,51.0,10000.0,0.89,299.0,2.24,07:12:27,16:39:41
2021-12-12,14:00,Tallahassee,Florida,2021-12-12,09:00,2021-12-12,09:00,2021-12-12 08:00:00,-06:00,1639296000.0,30.439722222222,-84.346388888889,34.0,34.0,1.3,,9.0,82.0,1023.3,-84.2807,30.4383,804.0,,Clouds,overcast clouds,57.87,57.63,53.69,59.86,1023.0,91.0,10000.0,0.45,17.0,0.89,07:24:52,17:37:20
2021-12-12,14:00,Atlanta,Georgia,2021-12-12,09:00,2021-12-12,09:00,,,,,,,,,,,,,-84.388,33.749,800.0,,Clear,clear sky,39.74,38.07,35.46,45.14,1026.0,74.0,10000.0,1.34,0.0,4.02,07:33:16,17:29:47
2021-12-12,14:00,Honolulu,Hawaii,2021-12-12,04:00,2021-12-12,04:00,2021-12-12 04:00:00,-10:00,1639281600.0,21.30383819,-157.8711711,15.0,9.0,,,14.5,78.0,1016.9,-157.8583,21.3069,801.0,,Clouds,few clouds,72.57,73.0,70.84,73.22,1016.0,74.0,10000.0,1.79,90.0,4.02,06:59:55,17:51:05
2021-12-12,14:00,Boise,Idaho,2021-12-12,07:00,2021-12-12,07:00,,,,,,,,,,,,,-116.2035,43.6135,804.0,,Clouds,overcast clouds,39.72,39.72,35.82,42.04,1009.0,81.0,10000.0,0.45,175.0,1.34,08:09:23,17:08:17
2021-12-12,14:00,Springfield,Illinois,2021-12-12,08:00,2021-12-12,08:00,2021-12-12 08:00:00,-06:00,1639296000.0,37.256069,-93.299692,10.0,10.0,,,,70.6,1024.5,-89.6437,39.8017,800.0,,Clear,clear sky,35.22,27.55,32.05,37.35,1023.0,73.0,10000.0,4.63,210.0,,07:10:51,16:34:15
2021-12-12,14:00,Indianapolis,Indiana,2021-12-12,09:00,2021-12-12,09:00,2021-12-12 09:00:00,-05:00,1639299600.0,39.787933,-86.13088,26.0,26.0,3.2,13.9,12.1,85.4,1023.8,-86.158,39.7684,800.0,,Clear,clear sky,33.98,27.95,31.91,36.55,1025.0,75.0,10000.0,3.09,200.0,,07:56:48,17:20:25
2021-12-12,14:00,Des Moines,Iowa,2021-12-12,08:00,2021-12-12,08:00,2021-12-12 08:00:00,-06:00,1639296000.0,41.603056,-93.643056,10.0,10.0,,2.8,1.6,39.0,1014.8,-93.6091,41.6005,803.0,,Clouds,broken clouds,37.42,32.68,34.61,39.25,1015.0,47.0,10000.0,2.68,167.0,6.71,07:32:17,16:44:34
2021-12-12,14:00,Topeka,Kansas,2021-12-12,08:00,2021-12-12,08:00,2021-12-12 08:00:00,-06:00,1639296000.0,39.0242,-95.7114,24.0,15.0,,,24.1,60.0,1019.0,-95.678,39.0483,800.0,,Clear,clear sky,36.7,33.49,34.25,39.87,1019.0,55.0,10000.0,1.79,172.0,4.47,07:32:47,17:00:38
2021-12-12,14:00,Frankfort,Kentucky,2021-12-12,09:00,2021-12-12,09:00,2021-12-12 09:00:00,-05:00,1639299600.0,38.065,-84.5,18.0,18.0,,,,60.0,1027.6,-84.8733,38.2009,800.0,,Clear,clear sky,33.8,33.8,31.12,37.36,1027.0,93.0,10000.0,0.0,0.0,,07:47:05,17:19:51
2021-12-12,14:00,Baton Rouge,Louisiana,2021-12-12,08:00,2021-12-12,08:00,2021-12-12 08:00:00,-06:00,1639296000.0,30.315175,-90.811276,32.0,32.0,1.2,5.0,16.0,88.0,1027.7,-91.1545,30.4508,800.0,,Clear,clear sky,45.73,44.85,42.75,49.98,1026.0,79.0,10000.0,1.34,23.0,3.58,06:52:24,17:04:48
2021-12-12,14:00,Augusta,Maine,2021-12-12,09:00,2021-12-12,09:00,2021-12-12 09:00:00,-05:00,1639299600.0,44.089355,-70.214134,34.0,34.0,,,,40.0,1009.4,-69.7795,44.3106,800.0,,Clear,clear sky,38.7,28.87,36.97,40.98,1009.0,51.0,10000.0,8.75,290.0,13.38,07:06:00,16:00:09
2021-12-12,14:00,Annapolis,Maryland,2021-12-12,09:00,2021-12-12,09:00,2021-12-12 09:00:00,-05:00,1639299600.0,39.2981,-76.604698,5.0,5.0,,4.7,,50.0,1023.0,-76.4922,38.9785,800.0,,Clear,clear sky,43.23,37.98,40.68,45.45,1023.0,48.0,10000.0,4.12,290.0,,07:15:47,16:44:05
2021-12-12,14:00,Boston,Massachusetts,2021-12-12,09:00,2021-12-12,09:00,,,,,,,,,,,,,-71.0598,42.3584,803.0,,Clouds,broken clouds,41.43,37.47,38.88,43.95,1015.0,43.0,10000.0,2.68,348.0,6.26,07:04:29,16:11:54
2021-12-12,14:00,Lansing,Michigan,2021-12-12,09:00,2021-12-12,09:00,,,,,,,,,,,,,-84.5555,42.7325,800.0,,Clear,clear sky,34.29,25.39,31.35,35.98,1018.0,76.0,10000.0,5.66,210.0,,07:59:44,17:04:39
2021-12-12,14:00,Saint Paul,Minnesota,2021-12-12,08:00,2021-12-12,08:00,2021-12-12 08:00:00,-06:00,1639296000.0,44.9594,-93.0356,30.0,30.0,,,,79.0,1009.8,-93.0933,44.9444,800.0,,Clear,clear sky,26.47,26.47,22.32,28.76,1008.0,78.0,10000.0,0.45,216.0,3.13,07:41:35,16:31:08
2021-12-12,14:00,Jackson,Mississippi,2021-12-12,08:00,2021-12-12,08:00,2021-12-12 08:00:00,-06:00,1639296000.0,32.329111,-90.182722,23.0,23.0,1.8,,16.0,87.0,1027.3,-90.1848,32.2988,800.0,,Clear,clear sky,39.69,36.41,37.49,41.14,1028.0,79.0,10000.0,2.06,0.0,,06:52:54,16:56:33
2021-12-12,14:00,Jefferson City,Missouri,2021-12-12,08:00,2021-12-12,08:00,2021-12-12 08:00:00,-06:00,1639296000.0,38.631057,-90.281144,15.0,15.0,3.8,19.5,,99.0,1027.2,-92.1735,38.5767,800.0,,Clear,clear sky,33.84,29.23,29.77,38.64,1024.0,62.0,10000.0,2.24,110.0,0.0,07:17:23,16:47:59
2021-12-12,14:00,Helena,Montana,2021-12-12,07:00,2021-12-12,07:00,,,,,,,,,,,,,-112.0361,46.5927,803.0,,Clouds,broken clouds,25.23,16.3,25.23,25.23,1005.0,70.0,10000.0,3.77,174.0,7.57,08:03:36,16:40:43
2021-12-12,14:00,Lincoln,Nebraska,2021-12-12,08:00,2021-12-12,08:00,2021-12-12 08:00:00,-06:00,1639296000.0,40.812558,-96.675733,13.0,13.0,,,,44.0,1014.8,-96.667,40.8,800.0,,Clear,clear sky,34.63,28.67,31.91,36.84,1014.0,47.0,10000.0,3.13,219.0,7.15,07:42:00,16:59:19
2021-12-12,14:00,Carson City,Nevada,2021-12-12,06:00,2021-12-12,06:00,2021-12-12 06:00:00,-08:00,1639288800.0,39.16602,-120.14883,25.0,25.0,,,0.1,87.6,1016.3,-119.7674,39.1638,804.0,,Clouds,overcast clouds,37.96,37.96,31.01,41.13,1013.0,56.0,10000.0,0.0,0.0,,07:09:31,16:36:39
2021-12-12,14:00,Concord,New Hampshire,2021-12-12,09:00,2021-12-12,09:00,2021-12-12 09:00:00,-05:00,1639299600.0,42.862531,-71.38014,29.0,4.0,1.5,,28.9,54.0,1013.1,-71.5376,43.2081,800.0,,Clear,clear sky,39.83,31.28,37.17,42.6,1013.0,45.0,10000.0,7.2,310.0,13.89,07:09:14,16:10:59
2021-12-12,14:00,Trenton,New Jersey,2021-12-12,09:00,2021-12-12,09:00,2021-12-12 09:00:00,-05:00,1639299600.0,40.28308,-74.74264,26.0,24.0,,1.9,26.4,60.0,1020.1,-74.7429,40.217,800.0,,Clear,clear sky,43.83,40.96,41.4,46.24,1018.0,54.0,10000.0,2.24,290.0,3.13,07:12:29,16:33:24
2021-12-12,14:00,Santa Fe,New Mexico,2021-12-12,07:00,2021-12-12,07:00,,,,,,,,,,,,,-105.9378,35.687,800.0,,Clear,clear sky,23.27,18.0,15.15,30.85,1023.0,34.0,10000.0,1.79,22.0,3.58,07:04:30,16:51:01
2021-12-12,14:00,Albany,New York,2021-12-12,09:00,2021-12-12,09:00,,,,,,,,,,,,,-73.7562,42.6526,803.0,,Clouds,broken clouds,38.86,38.86,35.58,41.94,1017.0,72.0,10000.0,0.89,26.0,3.58,07:16:15,16:21:43
2021-12-12,14:00,Raleigh,North Carolina,2021-12-12,09:00,2021-12-12,09:00,2021-12-12 09:00:00,-05:00,1639299600.0,35.856098,-78.574203,24.0,19.0,1.5,1.0,24.1,64.5,1025.1,-78.6386,35.7721,801.0,,Clouds,few clouds,46.09,46.09,43.02,49.17,1026.0,56.0,10000.0,0.45,317.0,2.24,07:15:28,17:01:34
2021-12-12,14:00,Bismarck,North Dakota,2021-12-12,08:00,2021-12-12,08:00,,,,,,,,,,,,,-100.7837,46.8083,800.0,,Clear,clear sky,30.51,27.01,26.87,31.82,1002.0,66.0,10000.0,1.54,280.0,,08:19:24,16:54:52
2021-12-12,14:00,Columbus,Ohio,2021-12-12,09:00,2021-12-12,09:00,2021-12-12 09:00:00,-05:00,1639299600.0,40.0845,-82.81552,5.0,5.0,,,,67.0,1015.7,-82.9988,39.9612,800.0,,Clear,clear sky,34.29,27.59,30.72,37.35,1025.0,80.0,10000.0,3.6,240.0,,07:44:45,17:07:12
2021-12-12,14:00,Oklahoma City,Oklahoma,2021-12-12,08:00,2021-12-12,08:00,,,,,,,,,,,,,-97.5164,35.4676,800.0,,Clear,clear sky,38.1,30.09,31.19,41.86,1011.0,52.0,10000.0,5.81,188.0,7.6,07:30:13,17:17:54
2021-12-12,14:00,Salem,Oregon,2021-12-12,06:00,2021-12-12,06:00,2021-12-12 06:00:00,-08:00,1639288800.0,44.943114,-123.005934,7.0,7.0,,,,91.0,1016.4,-123.0351,44.9429,804.0,,Clouds,overcast clouds,40.14,40.14,37.18,42.1,1007.0,83.0,10000.0,0.89,203.0,4.47,07:41:25,16:30:55
2021-12-12,14:00,Harrisburg,Pennsylvania,2021-12-12,09:00,2021-12-12,09:00,,,,,,,,,,,,,-76.8844,40.2737,800.0,,Clear,clear sky,41.13,36.5,38.75,43.5,1022.0,53.0,10000.0,3.13,274.0,3.58,07:21:13,16:41:47
2021-12-12,14:00,Providence,Rhode Island,2021-12-12,09:00,2021-12-12,09:00,,,,,,,,,,,,,-71.4128,41.824,803.0,,Clouds,broken clouds,41.88,40.5,38.97,44.65,1013.0,52.0,10000.0,1.34,83.0,3.13,07:04:10,16:15:03
2021-12-12,14:00,Columbia,South Carolina,2021-12-12,09:00,2021-12-12,09:00,2021-12-12 09:00:00,-05:00,1639299600.0,34.093899,-80.962196,18.0,,1.8,,17.6,67.0,1021.2,-81.0348,34.0007,800.0,,Clear,clear sky,49.33,47.43,47.32,51.66,1025.0,59.0,10000.0,2.24,10.0,4.02,07:20:29,17:15:44
2021-12-12,14:00,Pierre,South Dakota,2021-12-12,08:00,2021-12-12,08:00,,,,,,,,,,,,,-100.351,44.3683,800.0,,Clear,clear sky,31.37,22.44,25.72,35.06,1011.0,67.0,10000.0,4.92,209.0,9.39,08:08:34,17:02:14
2021-12-12,14:00,Nashville,Tennessee,2021-12-12,08:00,2021-12-12,08:00,,,,,,,,,,,,,-86.7844,36.1659,741.0,,Fog,fog,35.73,35.73,29.17,40.12,1016.0,81.0,10000.0,0.45,126.0,1.79,06:49:07,16:33:07
2021-12-12,14:00,Austin,Texas,2021-12-12,08:00,2021-12-12,08:00,,,,,,,,,,,,,-97.7431,30.2672,800.0,,Clear,clear sky,42.62,40.33,35.51,48.25,1025.0,66.0,10000.0,1.79,112.0,1.79,07:18:21,17:31:35
2021-12-12,14:00,Salt Lake City,Utah,2021-12-12,07:00,2021-12-12,07:00,2021-12-12 07:00:00,-07:00,1639292400.0,40.795491360367,-111.9310171715,22.0,9.0,1.2,8.4,22.4,40.0,1013.8,-111.8911,40.7608,804.0,,Clouds,overcast clouds,34.83,32.52,27.66,39.09,1014.0,58.0,10000.0,1.34,41.0,2.68,07:42:49,17:00:20
2021-12-12,14:00,Montpelier,Vermont,2021-12-12,09:00,2021-12-12,09:00,2021-12-12 09:00:00,-05:00,1639299600.0,44.528389,-72.868973,33.0,5.0,0.2,,32.8,61.5,1011.5,-72.5754,44.2601,800.0,,Clear,clear sky,36.57,29.77,34.45,38.98,1013.0,42.0,10000.0,4.12,290.0,7.72,07:17:01,16:11:30
